Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-December-2023,2458.00,2464.90,2420.25,2423.95,2447.080291524387136231,98105,8193,240070812.00,55701,56.78,44.65,-34.05
11-December-2023,2452.15,2467.40,2452.15,2459.05,2460.076170250420316786,169515,13614,417019812.00,104177,61.46,15.25,6.90
8-December-2023,2461.20,2475.70,2444.50,2456.20,2456.803147657547721136,1107109,43196,2719948876.00,275060,24.84,31.20,-5.00
7-December-2023,2460.70,2461.05,2442.00,2457.60,2460.469800120007539378,2891485,6703,7114411520.00,2842661,98.31,19.05,-3.10
6-December-2023,2443.25,2473.60,2440.30,2460.70,2460.205209052550824702,130350,8453,320687749.00,61992,47.56,33.30,17.45
5-December-2023,2433.00,2440.50,2421.35,2437.55,2434.161330024051993244,390820,23258,951318931.00,249211,63.77,19.15,4.55
4-December-2023,2440.05,2445.00,2395.00,2421.00,2397.514362188607773720,6478365,19776,15531973131.00,5865945,90.55,50.00,-19.05
1-December-2023,2381.00,2396.90,2380.00,2393.45,2388.534934996892837699,2830557,27006,6760884280.00,2083574,73.61,16.90,12.45
30-November-2023,2398.00,2400.50,2371.25,2376.40,2385.024445092403477590,4376134,12124,10437186565.00,4246659,97.04,29.25,-21.60
29-November-2023,2405.15,2411.75,2398.25,2400.50,2406.503598099956143331,323782,20032,779182548.00,200843,62.03,13.50,-4.65
28-November-2023,2393.00,2398.80,2375.00,2394.55,2380.138926489994959249,353122,15723,840479418.00,264619,74.94,23.80,1.55
24-November-2023,2390.20,2402.40,2390.20,2394.30,2397.666256881988852032,584860,23877,1402299087.00,49598,8.48,12.20,4.10
23-November-2023,2387.75,2401.25,2387.75,2395.15,2398.118206790462586528,227525,8100,545631845.00,134765,59.23,13.50,7.40
22-November-2023,2372.70,2394.75,2372.40,2387.75,2385.321305461560355459,63242,5863,150852490.00,23864,37.73,22.35,15.05
21-November-2023,2362.05,2387.65,2359.40,2378.50,2376.397800231554573202,76008,6561,180625244.00,38064,50.08,28.25,16.45
20-November-2023,2349.00,2358.00,2336.85,2349.30,2345.622607188201972848,163824,13079,384269278.00,110062,67.18,21.15,0.30
17-November-2023,2357.35,2373.00,2353.00,2355.85,2366.374074332577211655,573100,28033,1356168982.00,132695,23.15,20.00,-1.50
16-November-2023,2349.95,2373.70,2346.80,2363.35,2364.558709016863863215,435606,20362,1030015961.00,317578,72.90,26.90,13.40
15-November-2023,2335.50,2362.35,2326.80,2356.90,2344.394092156994040501,104539,7726,245080614.00,64169,61.38,35.55,21.40
13-November-2023,2325.00,2325.00,2311.65,2314.30,2315.574379906790528916,127884,11398,296124914.00,72220,56.47,13.35,-10.70
12-November-2023,2329.70,2332.55,2322.70,2330.90,2329.105304103803728709,35991,5983,83826829.00,25501,70.85,9.85,1.20
10-November-2023,2308.00,2317.00,2298.15,2314.30,2310.663754811963281018,499796,28833,1154860502.00,109021,21.81,18.85,6.30
9-November-2023,2330.55,2336.55,2305.00,2310.65,2316.941961247637051039,211600,16406,490264919.00,146252,69.12,31.55,-19.90
8-November-2023,2333.70,2341.00,2322.60,2336.60,2336.543011615575129892,317763,11631,742466917.00,263644,82.97,18.40,2.90
7-November-2023,2337.75,2339.45,2320.00,2324.20,2330.330220192242143295,205366,13986,478570596.00,146165,71.17,19.45,-13.55
6-November-2023,2334.95,2340.00,2326.05,2339.05,2336.065109280091020865,326958,7763,763795176.00,288498,88.24,13.95,4.10
3-November-2023,2328.65,2335.00,2314.90,2319.05,2325.267524537980231910,813331,24570,1891212161.00,215587,26.51,20.10,-9.60
2-November-2023,2309.00,2324.00,2306.50,2319.85,2315.537377820326442813,84609,6190,195915302.00,32521,38.44,17.50,10.85
1-November-2023,2289.90,2317.50,2275.25,2296.65,2305.794718297814114186,263097,18143,606647673.00,176967,67.26,42.25,6.75
31-October-2023,2332.95,2332.95,2282.80,2288.55,2300.881278134555533611,146839,11561,337859106.00,85370,58.14,50.15,-44.40
30-October-2023,2283.95,2324.60,2272.00,2311.35,2311.431379692289576042,271749,15127,628129166.00,115446,42.48,52.60,27.40
27-October-2023,2242.00,2274.05,2236.05,2265.25,2265.721799174468535753,793186,35787,1797138811.00,134120,16.91,38.00,23.25
26-October-2023,2257.95,2258.00,2221.05,2226.20,2230.946668053726086045,682499,44368,1522618870.00,457323,67.01,36.95,-31.75
25-October-2023,2252.95,2281.50,2242.40,2258.00,2260.577489527820821129,217481,14261,491632653.00,123981,57.01,39.10,5.05
23-October-2023,2292.00,2306.70,2254.25,2262.65,2284.041854151278621763,250465,32558,572072543.00,139099,55.54,52.45,-29.35
20-October-2023,2302.45,2314.80,2296.05,2299.15,2300.976202868804959614,474553,23845,1091935160.00,159110,33.53,18.75,-3.30
19-October-2023,2314.95,2321.40,2301.55,2305.55,2311.836267820359930615,590336,10380,1364760175.00,538713,91.26,19.85,-9.40
18-October-2023,2355.25,2367.15,2320.20,2323.60,2340.822701533908149534,260837,19726,610573171.00,142566,54.66,46.95,-31.65
17-October-2023,2352.45,2360.00,2342.00,2355.60,2348.019175335255044491,135643,8197,318492365.00,98533,72.64,18.00,3.15
16-October-2023,2348.00,2354.00,2336.00,2342.90,2347.281414759585685759,208827,14402,490175736.00,155826,74.62,18.00,-5.10
13-October-2023,2342.90,2358.00,2330.00,2350.70,2346.607133391775906709,686714,33408,1611447971.00,254760,37.10,28.00,7.80
12-October-2023,2347.65,2359.00,2338.05,2348.85,2350.586766448596613691,308005,17181,723992477.00,243224,78.97,20.95,1.20
11-October-2023,2314.90,2349.50,2314.00,2345.00,2331.311898163133193073,1384096,23361,3226759473.00,1290126,93.21,35.50,30.10
10-October-2023,2305.05,2317.90,2303.45,2308.55,2308.989988382423289824,87798,6959,202724703.00,38048,43.34,14.45,3.50
9-October-2023,2309.95,2312.55,2295.00,2297.75,2303.008323646629026901,96352,10939,221899458.00,50761,52.68,17.55,-12.20
6-October-2023,2322.95,2325.00,2312.00,2317.90,2319.289180241325182454,356117,22839,825938305.00,66973,18.81,13.00,-5.05
5-October-2023,2325.00,2329.00,2310.00,2313.85,2317.489525626820961057,194952,20181,451799218.00,91141,46.75,19.00,-11.15
4-October-2023,2312.00,2318.70,2295.15,2314.30,2303.285540758901209115,269205,38023,620055984.00,160245,59.53,23.55,2.30
3-October-2023,2337.00,2337.00,2316.00,2318.25,2322.583794821836711753,266890,26970,619874389.00,186526,69.89,21.00,-18.75
29-September-2023,2347.95,2369.50,2334.10,2346.50,2353.438190433005408460,152169,12293,358120336.00,39779,26.14,35.40,-1.45
28-September-2023,2384.00,2384.00,2325.65,2334.00,2352.041432171423305358,314683,28978,740147454.00,179944,57.18,58.35,-50.00
27-September-2023,2349.00,2371.70,2339.00,2369.10,2356.694917986539314069,248130,10879,584766710.00,147471,59.43,32.70,20.10
26-September-2023,2343.70,2350.00,2336.10,2341.55,2340.968590038534537297,139096,9157,325619367.00,87639,63.01,13.90,-2.15
25-September-2023,2353.85,2359.90,2335.80,2340.05,2343.469027104226501561,191151,12614,447956448.00,127964,66.94,24.10,-13.80
22-September-2023,2368.15,2383.65,2350.00,2354.05,2362.938986832081836978,367560,17750,868521854.00,185760,50.54,33.65,-14.10
21-September-2023,2379.95,2390.00,2359.00,2364.55,2371.491693962520210101,358113,19461,849262005.00,241480,67.43,31.00,-15.40
20-September-2023,2422.95,2426.40,2361.60,2382.10,2382.249309940449429775,2533477,32656,6035373835.00,1581453,62.42,64.80,-40.85
18-September-2023,2442.00,2451.55,2432.60,2436.00,2442.264442227501417487,139331,13491,340283147.00,75066,53.88,18.95,-6.00
15-September-2023,2466.05,2467.10,2449.60,2460.05,2459.253781020974487496,126487,8361,311063633.00,48361,38.23,17.50,-6.00
14-September-2023,2456.35,2465.00,2445.00,2451.10,2453.368898605704212268,231443,12502,567815058.00,140502,60.71,20.00,-5.25
13-September-2023,2443.55,2462.50,2415.60,2452.75,2452.579694430064499881,142946,8009,350586457.00,80688,56.45,46.90,9.20
12-September-2023,2489.70,2489.70,2435.20,2437.95,2454.894407762786758947,157057,10026,385558351.00,85733,54.59,54.50,-51.75
11-September-2023,2455.95,2476.00,2452.05,2474.40,2467.971625440539449421,366596,19642,904748526.00,213499,58.24,23.95,18.45
8-September-2023,2436.40,2455.65,2423.40,2449.05,2440.494049329932094995,445328,20022,1086820334.00,177894,39.95,32.25,12.65
7-September-2023,2425.85,2438.00,2411.40,2431.50,2424.164803971990346955,101108,8440,245102455.00,37824,37.41,26.60,5.65
6-September-2023,2422.95,2436.00,2418.00,2428.10,2426.851115549215406562,175250,14201,425305658.00,90823,51.82,18.00,5.15
5-September-2023,2418.25,2433.95,2411.00,2423.95,2423.075872872659491669,201719,9661,488780442.00,138447,68.63,22.95,5.70
4-September-2023,2410.05,2423.00,2406.00,2410.15,2413.598545382984916753,243913,20307,588708062.00,123464,50.62,17.00,0.10
1-September-2023,2408.00,2425.70,2401.30,2413.05,2413.589717743329364898,723207,28637,1745524979.00,79267,10.96,24.40,5.05
31-August-2023,2420.05,2425.90,2400.00,2406.90,2412.472067142992921224,241991,24786,583796528.00,130608,53.97,25.90,-13.15
30-August-2023,2430.30,2443.25,2415.05,2418.30,2425.360522709708424705,923878,11469,2240737229.00,817760,88.51,28.20,-12.00
29-August-2023,2447.00,2452.15,2408.45,2420.25,2424.882727545263769906,220154,15626,533847632.00,98555,44.77,43.70,-26.75
28-August-2023,2474.00,2483.50,2432.00,2442.55,2464.457818049644679639,349403,27389,861088955.00,135197,38.69,51.50,-31.45
25-August-2023,2454.00,2505.00,2443.95,2469.95,2473.665624538813079034,1212903,43650,3000316457.00,242270,19.97,61.05,15.95
24-August-2023,2542.00,2542.00,2471.60,2478.65,2505.276939498486470767,302604,27085,758106823.00,146573,48.44,70.40,-63.35
23-August-2023,2527.95,2542.40,2518.05,2523.15,2528.677999605921349528,157329,9054,397834381.00,33454,21.26,24.35,-4.80
22-August-2023,2518.25,2537.45,2498.55,2519.00,2518.056013449435296146,115990,11005,292069317.00,57538,49.61,38.90,0.75
21-August-2023,2531.00,2554.90,2513.55,2518.25,2529.417104487557343858,156076,10454,394781304.00,53633,34.36,41.35,-12.75
18-August-2023,2532.00,2577.00,2508.50,2556.70,2549.744477681329638533,1144311,40407,2917700653.00,162964,14.24,68.50,24.70
17-August-2023,2568.00,2577.95,2532.20,2537.75,2554.204664288681650837,139614,10379,356602730.00,63474,45.46,45.75,-30.25
16-August-2023,2556.65,2582.15,2550.65,2574.90,2570.091748130782624529,87871,6679,225836532.00,36048,41.02,31.50,18.25
14-August-2023,2533.05,2582.00,2524.20,2576.75,2560.186455013483696984,407900,30640,1044300055.00,229691,56.31,57.80,43.70
11-August-2023,2535.45,2558.30,2512.10,2548.00,2535.271640837731535953,297470,14039,754167255.00,191875,64.50,46.20,12.55
10-August-2023,2527.00,2550.00,2508.80,2535.65,2529.852340571735872168,200827,9920,508062656.00,130994,65.23,41.20,8.65
9-August-2023,2507.00,2529.40,2481.00,2523.55,2490.262587054389608924,212798,13332,529922898.00,160005,75.19,48.40,16.55
8-August-2023,2525.30,2534.60,2499.45,2505.65,2513.187117393166617244,151755,10346,381388711.00,113420,74.74,35.15,-19.65
7-August-2023,2515.00,2528.35,2505.05,2523.45,2518.678487360556749565,293130,16805,738300225.00,203159,69.31,23.30,8.45
4-August-2023,2485.00,2517.20,2472.00,2510.15,2504.988822124697976176,709795,28046,1778028541.00,171724,24.19,45.20,25.15
3-August-2023,2471.45,2499.90,2458.00,2474.95,2472.542453791710714065,210947,21250,521575413.00,84371,40.00,41.90,3.50
2-August-2023,2500.00,2511.80,2463.20,2486.35,2484.221025529839015664,184490,13167,458313937.00,113655,61.60,48.60,-13.65
1-August-2023,2547.85,2559.00,2505.90,2512.65,2525.044326814050630680,170213,13065,429795370.00,109731,64.47,53.10,-35.20
31-July-2023,2527.90,2553.65,2518.75,2547.85,2536.486485532815808045,85020,8241,215652081.00,43609,51.29,34.90,19.95
28-July-2023,2509.05,2541.90,2501.00,2527.60,2523.001204712799259496,644967,34907,1627252518.00,92006,14.27,40.90,18.55
27-July-2023,2529.00,2538.00,2491.45,2506.30,2513.374721917361255302,101139,9612,254200206.00,38886,38.45,46.55,-22.70
26-July-2023,2480.10,2547.25,2480.10,2525.70,2523.217254943253183312,132959,11970,335484443.00,36554,27.49,67.15,45.60
25-July-2023,2491.50,2505.00,2480.05,2484.70,2492.556073640570573886,199238,19241,496611887.00,85886,43.11,24.95,-6.80
24-July-2023,2484.00,2514.80,2469.55,2487.55,2491.208659468693195506,228305,18133,568755393.00,86524,37.90,45.25,3.55
21-July-2023,2603.00,2613.80,2523.35,2536.20,2544.593694675959990546,896988,43072,2282470009.00,154263,17.20,90.45,-66.80
20-July-2023,2589.00,2632.00,2582.00,2619.80,2614.322366976140561046,400680,17951,1047506686.00,177445,44.29,50.00,30.80
19-July-2023,2832.00,2855.00,2796.45,2840.00,2825.836221056197153393,782335,43098,2210750580.00,417880,53.41,58.55,8.00
18-July-2023,2812.05,2838.00,2794.00,2822.40,2813.552397624875152286,364444,19866,1025382290.00,200000,54.88,44.00,10.35
17-July-2023,2746.70,2816.00,2728.55,2796.40,2780.312170443523498809,453640,21402,1261260813.00,256190,56.47,87.45,49.70
14-July-2023,2751.05,2760.80,2723.75,2738.90,2738.693264680377230770,499323,26100,1367492537.00,170719,34.19,37.05,-12.15
13-July-2023,2780.90,2799.95,2737.75,2743.15,2780.672588531690961987,261573,16173,727348871.00,146996,56.20,62.20,-37.75
12-July-2023,2769.85,2802.20,2762.00,2766.20,2780.864679710104821029,325221,21261,904395592.00,159848,49.15,40.20,-3.65
11-July-2023,2750.20,2769.85,2738.50,2764.30,2753.465800411070071520,527404,28533,1452188877.00,310076,58.79,31.35,14.10
10-July-2023,2686.00,2755.00,2672.75,2735.15,2730.828550203949323320,1110570,69522,3032776263.00,712657,64.17,82.25,49.15
7-July-2023,2632.80,2665.00,2627.40,2635.45,2642.863002108300044385,576768,31686,1524318808.00,137881,23.91,37.60,2.65
6-July-2023,2576.00,2644.30,2576.00,2638.35,2627.340479392453128708,619409,34420,1627398339.00,375475,60.62,68.30,62.35
5-July-2023,2600.55,2604.00,2575.70,2584.80,2587.612695894314208004,61768,6072,159831661.00,25342,41.03,28.30,-15.75
4-July-2023,2621.00,2626.50,2573.25,2588.25,2595.597972848390342582,189823,9444,492704194.00,124699,65.69,53.25,-32.75
3-July-2023,2553.20,2622.00,2553.20,2615.20,2594.171087789580328452,517214,35468,1341741605.00,350871,67.84,68.80,62.00
30-June-2023,2540.05,2556.70,2533.00,2550.70,2542.410838991939935961,289824,19687,736851679.00,176556,60.92,23.70,10.65
28-June-2023,2516.00,2537.25,2497.70,2529.35,2525.107661649798101630,171621,13923,433361502.00,116954,68.15,39.55,13.35
27-June-2023,2501.00,2510.00,2486.40,2495.80,2495.111111857213843488,148922,11504,371576937.00,116873,78.48,23.60,-5.20
26-June-2023,2504.00,2515.90,2489.25,2494.20,2499.732811883791244906,197782,16762,494402155.00,133526,67.51,26.65,-9.80
23-June-2023,2530.00,2532.80,2511.10,2515.25,2521.028400391729541097,289996,22793,731088152.00,145374,50.13,21.70,-14.75
22-June-2023,2561.70,2572.90,2532.25,2535.60,2552.037861084063615709,61620,10185,157256573.00,21315,34.59,40.65,-26.10
21-June-2023,2556.35,2569.10,2547.95,2563.60,2560.359581231428373989,144710,9931,370509635.00,116185,80.29,21.15,7.25
20-June-2023,2550.50,2564.00,2535.00,2546.75,2545.358236217531614913,171359,10217,436170042.00,142715,83.28,29.00,-3.75
19-June-2023,2582.20,2584.00,2543.40,2551.50,2552.289896476329681214,165566,10930,422572429.00,115804,69.94,40.60,-30.70
16-June-2023,2555.60,2581.00,2555.60,2575.40,2572.215594593697074353,150565,15481,387285641.00,86924,57.73,25.40,19.80
15-June-2023,2547.05,2561.90,2535.20,2551.55,2549.880231331739558430,284440,23638,725287933.00,203451,71.53,26.70,4.50
14-June-2023,2518.05,2555.00,2516.60,2552.60,2542.876454352765366961,196737,18495,500277885.00,136961,69.62,38.40,34.55
13-June-2023,2490.75,2523.30,2486.25,2520.40,2510.701755154275481852,205509,14771,515971807.00,151807,73.87,37.05,29.65
12-June-2023,2478.00,2489.00,2465.10,2483.10,2479.281089094494963533,75549,9576,187307207.00,36613,48.46,23.90,5.10
9-June-2023,2495.05,2508.10,2478.05,2481.90,2493.255576514972883753,169640,16518,422955876.00,82894,48.86,30.05,-13.15
8-June-2023,2502.40,2516.00,2491.00,2499.80,2503.360952771712849669,136486,11246,341673723.00,59283,43.44,25.00,-2.60
7-June-2023,2486.10,2499.55,2472.35,2497.55,2484.453338443558041269,211341,21369,525066853.00,158423,74.96,27.20,11.45
