Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-May-2024,3800.00,3870.20,3782.50,3863.75,3847.820372926378291101,76798,9478,295504909.00,37076,48.28,87.70,63.75
30-April-2024,3870.60,3880.00,3810.00,3822.60,3852.793143621278276990,98711,9592,380313064.00,58655,59.42,70.00,-48.00
29-April-2024,3825.60,3877.70,3820.00,3870.60,3857.027978298883558265,22303,2585,86023295.00,7904,35.44,57.70,45.00
26-April-2024,3859.65,3875.85,3801.25,3812.85,3833.223590300461507474,114191,9938,437719635.00,14962,13.10,74.60,-46.80
25-April-2024,3814.20,3872.00,3807.80,3851.85,3849.588312890534598472,86420,8502,332681422.00,38677,44.75,64.20,37.65
24-April-2024,3890.00,3896.00,3824.15,3831.25,3856.428315598235141448,38530,3175,148588183.00,21765,56.49,71.85,-58.75
23-April-2024,3880.00,3894.90,3861.40,3874.20,3876.935457728215767634,61696,5291,239191410.00,31278,50.70,33.50,-5.80
22-April-2024,3828.60,3879.35,3815.50,3865.45,3838.495210433176886973,51988,6539,199555689.00,22950,44.14,63.85,36.85
19-April-2024,3840.60,3851.80,3801.00,3827.45,3830.181015432748983625,223097,20611,854501894.00,61926,27.76,50.80,-13.15
18-April-2024,3889.75,3936.00,3851.00,3863.50,3895.470341430786537350,65782,5762,256251830.00,20615,31.34,85.00,-26.25
16-April-2024,3909.00,3928.10,3863.65,3872.30,3898.832044712983538716,163353,14039,636885911.00,87804,53.75,64.45,-36.70
15-April-2024,3995.00,4063.00,3920.00,3941.65,3993.727355254230809658,104649,8182,417939574.00,22884,21.87,143.00,-53.35
12-April-2024,3982.50,4013.25,3948.00,4000.30,3989.614700559623576579,179585,13418,716474956.00,33638,18.73,65.25,17.80
10-April-2024,3950.05,3989.30,3916.60,3982.55,3948.908349301943607993,109590,7989,432760866.00,58246,53.15,72.70,32.50
9-April-2024,3980.00,4015.05,3925.10,3947.15,3961.617381976894719321,81107,9845,321314901.00,36478,44.98,89.95,-32.85
8-April-2024,3980.00,4030.00,3960.10,3972.70,3999.473505427265786649,90377,8542,361460417.00,53472,59.17,69.90,-7.30
5-April-2024,3980.00,4001.90,3959.50,3979.55,3981.048460232523155609,93066,6207,370500256.00,23823,25.60,42.40,-0.45
4-April-2024,3970.05,4027.30,3936.00,4003.05,3986.892603634298693923,42264,4289,168502029.00,14217,33.64,91.30,33.00
3-April-2024,3859.55,3981.20,3855.70,3947.25,3934.958210201721701143,62264,5416,245006238.00,15746,25.29,125.50,87.70
2-April-2024,3889.95,3905.50,3875.00,3882.60,3885.614289606320664759,44046,5109,171145767.00,29108,66.09,30.50,-7.35
1-April-2024,3900.00,3932.00,3886.60,3915.25,3905.342359636456298309,58865,6999,229887978.00,31145,52.91,45.40,15.25
28-March-2024,3856.45,3914.65,3840.50,3883.55,3888.294578747298069517,80498,5802,312999937.00,13961,17.34,74.15,27.10
27-March-2024,3896.95,3896.95,3828.55,3837.50,3866.554205568231127783,71441,6226,276230499.00,49164,68.82,68.40,-59.45
26-March-2024,3897.55,3946.00,3872.00,3877.10,3894.579845288257310056,203863,13166,793960731.00,154398,75.74,74.00,-20.45
22-March-2024,3899.00,3938.40,3856.00,3913.10,3905.817574277161267876,275926,24449,1077716620.00,105781,38.34,82.40,14.10
21-March-2024,3985.40,4008.45,3948.85,3974.05,3977.999584148351225222,64927,5295,258279579.00,38457,59.23,59.60,-11.35
20-March-2024,3986.00,4018.00,3960.50,3970.45,3995.657416603376759946,136936,10788,547149344.00,68338,49.90,57.50,-15.55
19-March-2024,4055.65,4055.70,3965.90,3977.55,4030.540340982428484057,25582198,41364,103110081050.00,23490405,91.82,89.80,-78.10
18-March-2024,4217.50,4254.45,4116.70,4144.75,4194.654975943276778931,39490,9176,165646925.00,19791,50.12,137.75,-72.75
15-March-2024,4202.85,4238.80,4177.00,4217.50,4210.634805326617109455,106409,7584,448049439.00,30835,28.98,61.80,14.65
14-March-2024,4143.05,4213.70,4086.80,4207.15,4148.459858958524243993,50198,5222,208244388.00,10641,21.20,126.90,64.10
13-March-2024,4200.05,4241.05,4132.80,4148.40,4186.468454054054054054,46250,5633,193624166.00,17106,36.99,108.25,-51.65
12-March-2024,4117.30,4229.30,4117.30,4191.35,4200.229645198418655857,99915,7805,419665945.00,33533,33.56,112.00,74.05
11-March-2024,4080.35,4153.05,4080.35,4121.50,4126.539394283336170856,105726,8750,436282504.00,60960,57.66,72.70,41.15
7-March-2024,4060.10,4124.00,4039.00,4110.10,4099.213133903634351560,227716,15751,933456418.00,104730,45.99,85.00,50.00
6-March-2024,4016.15,4071.95,3959.35,4065.30,4006.269712486347711379,70501,5841,282446021.00,45041,63.89,112.60,49.15
5-March-2024,4060.00,4062.00,3980.50,4011.35,4016.297853443123713393,120472,10784,483851435.00,79444,65.94,81.50,-48.65
4-March-2024,4095.45,4114.10,4075.45,4081.60,4088.596158470046423881,108134,5352,442116257.00,86433,79.93,38.65,-13.85
2-March-2024,4110.05,4127.80,4094.05,4106.90,4108.953485064011379800,7030,1576,28885943.00,5042,71.72,33.75,-3.15
1-March-2024,4095.40,4139.90,4087.85,4096.30,4105.805760867767911768,120954,9329,496613630.00,11641,9.62,52.05,0.90
29-February-2024,4100.00,4138.00,4068.80,4092.15,4104.277801434701431425,30529,3727,125299497.00,13197,43.23,69.20,-7.85
28-February-2024,4103.00,4154.25,4091.30,4116.40,4129.191863249910190396,33404,4110,137931525.00,12029,36.01,62.95,13.40
27-February-2024,3999.80,4124.65,3997.05,4102.80,4069.288337365230116775,334830,5170,1362519814.00,300046,89.61,127.60,103.00
26-February-2024,4039.00,4050.85,3983.30,4000.40,4002.927792573237525752,19901,2847,79662266.00,8525,42.84,67.55,-38.60
23-February-2024,4121.05,4128.95,4045.50,4051.95,4066.190299138076728071,171593,11165,697729792.00,19409,11.31,83.45,-69.10
22-February-2024,3968.35,4093.80,3968.35,4086.45,4030.308450349474214470,31762,3746,128010657.00,15700,49.43,125.45,118.10
21-February-2024,4018.85,4063.00,3980.00,3989.30,4021.810418375717801476,24380,3703,98051738.00,10230,41.96,83.00,-29.55
20-February-2024,4089.90,4098.85,4011.10,4029.95,4048.018029322414476291,30284,10021,122590178.00,15464,51.06,87.75,-59.95
19-February-2024,4119.15,4121.65,4055.10,4101.60,4089.562543983110485573,56840,7146,232450735.00,31404,55.25,66.55,-17.55
16-February-2024,4112.05,4147.00,4100.90,4129.20,4123.419008252017829177,132816,10303,547656019.00,23751,17.88,46.10,17.15
15-February-2024,4122.30,4145.00,4081.70,4102.00,4105.809709182505152278,39303,5405,161370639.00,20217,51.44,63.30,-20.30
14-February-2024,4102.05,4114.50,4049.55,4101.00,4087.580763920846755637,15211,2343,62176191.00,5808,38.18,64.95,-1.05
13-February-2024,4120.05,4169.35,4082.40,4149.15,4127.852399197226783433,21924,2625,90499036.00,11166,50.93,86.95,29.10
